OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,ALAND,AWATER,INTPTLAT,INTPTLON,DP04_0001E,DP04_0002E,DP04_0003E,DP04_0004E,DP04_0005E,DP04_0006E,DP04_0007E,DP04_0008E,DP04_0009E,DP04_0010E,DP04_0011E,DP04_0012E,DP04_0013E,DP04_0014E,DP04_0015E,DP04_0016E,DP04_0017E,DP04_0018E,DP04_0019E,DP04_0020E,DP04_0021E,DP04_0022E,DP04_0023E,DP04_0024E,DP04_0025E,DP04_0026E,DP04_0027E,DP04_0028E,DP04_0029E,DP04_0030E,DP04_0031E,DP04_0032E,DP04_0033E,DP04_0034E,DP04_0035E,DP04_0036E,DP04_0037E,DP04_0038E,DP04_0039E,DP04_0040E,DP04_0041E,DP04_0042E,DP04_0043E,DP04_0044E,DP04_0045E,DP04_0046E,DP04_0047E,DP04_0048E,DP04_0049E,DP04_0050E,DP04_0051E,DP04_0052E,DP04_0053E,DP04_0054E,DP04_0055E,DP04_0056E,DP04_0057E,DP04_0058E,DP04_0059E,DP04_0060E,DP04_0061E,DP04_0062E,DP04_0063E,DP04_0064E,DP04_0065E,DP04_0066E,DP04_0067E,DP04_0068E,DP04_0069E,DP04_0070E,DP04_0071E,DP04_0072E,DP04_0073E,DP04_0074E,DP04_0075E,DP04_0076E,DP04_0077E,DP04_0078E,DP04_0079E,DP04_0080E,DP04_0081E,DP04_0082E,DP04_0083E,DP04_0084E,DP04_0085E,DP04_0086E,DP04_0087E,DP04_0088E,DP04_0089E,DP04_0090E,DP04_0091E,DP04_0092E,DP04_0093E,DP04_0094E,DP04_0095E,DP04_0096E,DP04_0097E,DP04_0098E,DP04_0099E,DP04_0100E,DP04_0101E,DP04_0102E,DP04_0103E,DP04_0104E,DP04_0105E,DP04_0106E,DP04_0107E,DP04_0108E,DP04_0109E,DP04_0110E,DP04_0111E,DP04_0112E,DP04_0113E,DP04_0114E,DP04_0115E,DP04_0116E,DP04_0117E,DP04_0118E,DP04_0119E,DP04_0120E,DP04_0121E,DP04_0122E,DP04_0123E,DP04_0124E,DP04_0125E,DP04_0126E,DP04_0127E,DP04_0128E,DP04_0129E,DP04_0130E,DP04_0131E,DP04_0132E,DP04_0133E,DP04_0134E,DP04_0135E,DP04_0136E,DP04_0137E,DP04_0138E,DP04_0139E,DP04_0140E,DP04_0141E,DP04_0142E,DP04_0143E,GIS_ID,COMPLETE_NAME,GLOBALID,SHAPEAREA,SHAPELEN
1,11,001,001902,11001001902,19.02,877346,0,+38.9639299,-077.0156458,908,864,44,0,0,908,459,387,0,0,0,19,43,0,0,908,0,0,0,14,13,4,1,62,111,703,908,29,0,5,35,80,154,183,155,267,7.3,908,29,33,60,411,337,38,864,776,88,2.65,3.45,864,80,147,148,240,58,191,864,108,319,351,86,864,731,0,101,12,0,0,7,13,0,864,0,0,0,864,854,0,10,776,14,0,0,0,12,125,614,11,630800,776,623,153,623,0,12,29,119,147,109,207,2521,153,0,9,69,30,36,9,595,623,273,106,61,16,167,0,153,90,7,25,4,4,6,17,0,83,0,23,33,0,0,5,22,1159,5,83,38,20,4,5,10,6,5,ACS_Housing_DC_CensusTract_27,"Census Tract 19.02, District of Columbia",{121BBF9A-5EC3-4614-8ABB-02CA1E61E398},0,0
2,11,001,005001,11001005001,50.01,200969,0,+38.9119619,-077.0295088,1209,1074,135,2.2,14.7,1209,13,236,192,193,54,131,390,0,0,1209,0,82,285,0,6,24,23,11,31,747,1209,50,115,333,366,67,62,18,49,149,3.8,1209,59,368,533,59,137,53,1074,575,499,1.72,1.72,1074,146,334,343,102,70,79,1074,587,412,55,20,1074,492,0,571,1,0,0,10,0,0,1074,0,0,0,1074,1068,0,6,575,11,0,0,0,0,49,343,172,709900,575,525,50,525,0,11,8,26,45,219,216,2894,50,0,0,0,0,14,36,1183,525,380,62,31,40,12,0,50,43,0,7,0,0,0,0,0,493,60,0,41,90,64,137,101,2434,6,493,167,54,119,14,83,56,6,ACS_Housing_DC_CensusTract_28,"Census Tract 50.01, District of Columbia",{087999BF-D000-4546-86F6-6A65104ED779},0,0
3,11,001,009807,11001009807,98.07,1037012,0,+38.8292038,-077.0117577,1802,1615,187,0,7,1802,163,403,22,369,278,427,87,53,0,1802,0,87,163,336,54,7,142,392,469,152,1802,53,99,685,238,244,179,148,106,50,3.8,1802,53,753,545,336,85,30,1615,467,1148,2.64,2,1615,74,418,155,596,234,138,1615,862,359,287,107,1615,772,0,606,107,0,0,0,14,116,1615,0,0,0,1615,1516,5,94,467,0,48,0,16,163,152,80,8,306800,467,281,186,281,0,13,98,82,67,0,21,1761,186,8,63,84,13,18,0,435,270,168,30,8,22,42,11,186,119,43,0,0,0,0,24,0,1148,107,358,502,181,0,0,0,1069,0,1106,167,149,77,131,263,319,42,ACS_Housing_DC_CensusTract_29,"Census Tract 98.07, District of Columbia",{47DC636E-3EA5-4589-A4D2-F3E44716B0D9},0,0
4,11,001,009802,11001009802,98.02,200745,0,+38.8307312,-076.9965578,954,841,113,6.5,8.9,954,19,393,20,18,164,314,26,0,0,954,14,98,14,0,9,105,247,256,142,69,954,26,7,138,286,92,26,194,147,38,4.7,954,26,214,372,317,25,0,841,261,580,1.7,2.53,841,23,273,172,214,81,78,841,513,185,118,25,841,442,0,382,0,0,0,0,17,0,841,0,0,52,841,830,11,0,261,0,8,10,25,99,119,0,0,255800,261,134,127,134,0,0,6,104,12,0,12,1793,127,7,99,21,0,0,0,371,134,9,71,0,28,26,0,127,33,79,8,0,0,0,7,0,580,249,28,168,97,13,0,25,1050,0,479,158,18,38,12,55,198,101,ACS_Housing_DC_CensusTract_30,"Census Tract 98.02, District of Columbia",{C91AA3D6-2B12-4814-AD19-1F0F28099183},0,0
5,11,001,009803,11001009803,98.03,531060,3756,+38.8356929,-077.0043421,1671,1493,178,0,10,1671,93,185,60,360,456,287,230,0,0,1671,0,144,329,74,65,129,373,162,288,107,1671,29,116,480,411,216,179,125,40,75,4,1671,29,775,495,229,143,0,1493,219,1274,3.63,1.95,1493,158,674,216,298,44,103,1493,768,526,84,115,1493,1011,0,455,0,0,0,0,3,24,1493,0,0,14,1493,1436,38,19,219,0,0,0,0,35,184,0,0,400500,219,154,65,154,0,17,24,84,29,0,0,1813,65,20,24,0,0,0,21,,154,79,41,15,0,19,0,65,11,0,0,13,0,0,41,0,1274,324,107,553,261,29,0,0,1183,0,1250,80,87,35,96,292,660,24,ACS_Housing_DC_CensusTract_31,"Census Tract 98.03, District of Columbia",{0445A4D8-AECD-4C0C-8D82-B9881A9DF6E5},0,0
6,11,001,002002,11001002002,20.02,849376,0,+38.9525009,-077.0310824,1636,1506,130,0,12.4,1636,694,421,24,0,189,26,282,0,0,1636,0,188,0,8,0,8,35,81,228,1088,1636,93,8,103,314,86,132,175,237,488,7,1636,93,137,294,343,400,369,1506,1168,338,2.69,3.07,1506,120,368,512,134,140,232,1506,181,753,408,164,1506,1257,0,228,15,0,0,0,6,0,1506,0,19,52,1506,1462,0,44,1168,0,15,0,9,65,40,766,273,785800,1168,981,187,981,0,21,65,20,22,51,802,3823,187,0,4,4,79,21,79,881,981,539,161,97,52,132,0,187,94,35,19,0,6,0,33,0,338,0,0,108,176,0,0,54,1673,0,265,65,66,13,52,0,69,73,ACS_Housing_DC_CensusTract_32,"Census Tract 20.02, District of Columbia",{B8828A8E-5621-4E38-9F0F-A380D020000B},0,0
7,11,001,002101,11001002101,21.01,600992,0,+38.9559119,-077.0241312,2486,2291,195,5.2,6.5,2486,173,1122,0,162,0,444,585,0,0,2486,0,0,261,125,233,82,103,187,181,1314,2486,34,234,638,402,158,296,354,184,186,4.3,2486,34,744,488,836,272,112,2291,960,1331,2.36,2.52,2291,227,834,752,186,116,176,2291,544,1084,530,133,2291,1546,22,709,0,0,0,0,14,0,2291,0,0,27,2291,2202,18,71,960,27,0,0,18,4,229,669,13,586000,960,786,174,786,0,30,26,138,93,250,249,2712,174,0,0,73,47,17,37,630,786,390,120,69,75,132,0,174,65,20,44,0,0,28,17,0,1258,46,158,515,297,128,47,67,1371,73,1258,229,70,393,193,49,324,73,ACS_Housing_DC_CensusTract_33,"Census Tract 21.01, District of Columbia",{A9E7DFCE-378A-441D-A5D3-7FBD3FCAAD60},0,0
8,11,001,002900,11001002900,29,300632,0,+38.9338478,-077.0299131,1882,1675,207,4.5,5,1882,124,703,265,111,167,215,297,0,0,1882,10,61,121,0,75,122,74,125,52,1242,1882,42,79,426,269,230,276,121,180,259,5,1882,42,464,367,585,337,87,1675,987,688,2.76,2.56,1675,144,664,292,344,55,176,1675,500,771,326,78,1675,1103,13,519,19,0,0,10,11,0,1675,0,0,0,1675,1584,43,48,987,0,0,0,16,11,186,541,233,703900,987,791,196,791,0,11,20,106,96,176,382,2962,196,0,33,71,9,36,47,586,791,458,115,108,44,66,0,196,129,7,10,0,0,7,43,0,672,42,26,125,194,27,61,197,1869,16,652,96,92,137,141,59,127,36,ACS_Housing_DC_CensusTract_34,"Census Tract 29, District of Columbia",{04AEA20F-3201-4BBE-9E18-3F39E868C3AB},0,0
9,11,001,003100,11001003100,31,296819,0,+38.9306170,-077.0254235,1825,1728,97,0,5.6,1825,55,705,158,134,113,215,445,0,0,1825,0,370,93,6,37,46,71,190,70,942,1825,143,186,480,249,206,174,66,258,63,3.9,1825,143,536,453,444,195,54,1728,951,777,2.38,1.87,1728,451,543,369,189,117,59,1728,634,835,156,103,1728,889,15,793,0,0,0,9,0,22,1728,0,0,0,1728,1650,78,0,951,0,13,0,0,7,175,747,9,655800,951,819,132,819,0,0,38,116,239,122,304,2568,132,0,0,0,95,7,30,733,819,321,159,117,71,151,0,132,99,7,0,11,0,0,15,0,752,10,0,137,290,180,26,109,1895,25,724,79,233,129,98,42,143,53,ACS_Housing_DC_CensusTract_35,"Census Tract 31, District of Columbia",{C52DFB22-1388-4676-802B-66F957A1DE24},0,0
10,11,001,003200,11001003200,32,447929,0,+38.9322375,-077.0211591,2042,1612,430,7,4.8,2042,269,1119,103,120,64,292,75,0,0,2042,0,103,13,10,10,24,74,106,111,1591,2042,43,38,257,326,367,395,119,293,204,5.5,2042,43,257,529,794,278,141,1612,1018,594,2.69,3.17,1612,98,548,236,398,161,171,1612,550,661,308,93,1612,978,0,567,10,0,0,7,34,16,1612,0,0,100,1612,1589,8,15,1018,24,12,13,0,18,219,679,53,646300,1018,861,157,861,0,13,61,111,138,180,358,2799,157,15,68,32,42,0,0,344,851,358,92,88,75,238,10,157,94,32,31,0,0,0,0,0,594,180,33,77,93,41,10,160,1538,0,594,92,10,114,70,95,213,0,ACS_Housing_DC_CensusTract_36,"Census Tract 32, District of Columbia",{2CFE60E2-B669-4049-8178-9D5E5491243E},0,0
