OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,ALAND,AWATER,INTPTLAT,INTPTLON,DP02_0001E,DP02_0002E,DP02_0003E,DP02_0004E,DP02_0005E,DP02_0006E,DP02_0007E,DP02_0008E,DP02_0009E,DP02_0010E,DP02_0011E,DP02_0012E,DP02_0013E,DP02_0014E,DP02_0015E,DP02_0016E,DP02_0017E,DP02_0018E,DP02_0019E,DP02_0020E,DP02_0021E,DP02_0022E,DP02_0023E,DP02_0024E,DP02_0025E,DP02_0026E,DP02_0027E,DP02_0028E,DP02_0029E,DP02_0030E,DP02_0031E,DP02_0032E,DP02_0033E,DP02_0034E,DP02_0035E,DP02_0036E,DP02_0037E,DP02_0038E,DP02_0039E,DP02_0040E,DP02_0041E,DP02_0042E,DP02_0043E,DP02_0044E,DP02_0045E,DP02_0046E,DP02_0047E,DP02_0048E,DP02_0049E,DP02_0050E,DP02_0051E,DP02_0052E,DP02_0053E,DP02_0054E,DP02_0055E,DP02_0056E,DP02_0057E,DP02_0058E,DP02_0059E,DP02_0060E,DP02_0061E,DP02_0062E,DP02_0063E,DP02_0064E,DP02_0065E,DP02_0066E,DP02_0067E,DP02_0068E,DP02_0069E,DP02_0070E,DP02_0071E,DP02_0072E,DP02_0073E,DP02_0074E,DP02_0075E,DP02_0076E,DP02_0077E,DP02_0078E,DP02_0079E,DP02_0080E,DP02_0081E,DP02_0082E,DP02_0083E,DP02_0084E,DP02_0085E,DP02_0086E,DP02_0087E,DP02_0088E,DP02_0089E,DP02_0090E,DP02_0091E,DP02_0092E,DP02_0093E,DP02_0094E,DP02_0095E,DP02_0096E,DP02_0097E,DP02_0098E,DP02_0099E,DP02_0100E,DP02_0101E,DP02_0102E,DP02_0103E,DP02_0104E,DP02_0105E,DP02_0106E,DP02_0107E,DP02_0108E,DP02_0109E,DP02_0110E,DP02_0111E,DP02_0112E,DP02_0113E,DP02_0114E,DP02_0115E,DP02_0116E,DP02_0117E,DP02_0118E,DP02_0119E,DP02_0120E,DP02_0121E,DP02_0122E,DP02_0123E,DP02_0124E,DP02_0125E,DP02_0126E,DP02_0127E,DP02_0128E,DP02_0129E,DP02_0130E,DP02_0131E,DP02_0132E,DP02_0133E,DP02_0134E,DP02_0135E,DP02_0136E,DP02_0137E,DP02_0138E,DP02_0139E,DP02_0140E,DP02_0141E,DP02_0142E,DP02_0143E,DP02_0144E,DP02_0145E,DP02_0146E,DP02_0147E,DP02_0148E,DP02_0149E,DP02_0150E,DP02_0151E,DP02_0152E,DP02_0153E,DP02_0154E,GIS_ID,NAME_1,GLOBALID,SHAPEAREA,SHAPELEN
1,11,001,004001,11001004001,40.01,271037,2414,+38.9208738,-077.0462674,2493,512,161,239,26,654,0,548,51,1088,32,869,88,238,333,1.85,2.74,4605,2493,525,261,515,40,771,1946,1271,551,22,65,37,2207,1490,546,0,59,112,63,0,0,38,0,27,67,0,0,0,0,0,0,0,0,0,539,105,28,209,37,160,3963,14,19,104,128,60,1560,2078,3930,3638,4116,134,4605,315,489,0,3659,198,457,117,4524,3598,926,873,637,236,0,236,53,4605,4098,4026,910,3116,72,507,507,294,213,579,72,47,25,507,86,421,507,97,104,18,14,274,0,4404,3793,611,0,448,0,89,0,38,0,36,0,4605,0,26,124,29,45,763,135,0,597,21,158,664,489,37,81,181,33,91,55,88,21,0,283,22,20,28,33,2493,2464,2403,ACS_Social_DC_CensusTract_1,"Census Tract 40.01, District of Columbia",{7EDBE94F-CE47-48AD-8E88-34A7A3A7668B},0,0
2,11,001,004002,11001004002,40.02,194755,0,+38.9181186,-077.0437209,2052,434,225,103,0,598,28,482,23,917,0,796,318,258,404,1.54,2.62,3162,2052,408,107,316,69,210,1230,686,450,28,0,66,1646,806,491,0,53,296,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,387,10,0,250,40,87,2727,47,0,5,79,69,919,1608,2680,2527,2835,77,3162,182,327,0,2387,140,448,42,3162,2484,678,576,398,178,0,178,102,3162,2445,2384,286,2098,61,717,717,326,391,778,61,0,61,717,272,445,717,396,189,0,0,132,0,3147,2471,676,164,310,89,279,57,39,18,48,0,3162,33,51,81,13,16,762,19,49,510,7,41,582,329,26,21,91,0,291,73,53,8,87,50,0,52,7,29,2052,2046,2011,ACS_Social_DC_CensusTract_2,"Census Tract 40.02, District of Columbia",{E8D78E90-39D1-4F4D-BDE0-6DA70ADD360D},0,0
3,11,001,003600,11001003600,36,305616,0,+38.9236744,-077.0296273,2187,343,35,226,0,585,27,289,28,1033,45,692,163,119,274,1.98,2.73,4330,2187,442,231,398,220,852,1810,1159,434,27,0,190,2366,1712,403,0,81,170,0,0,0,0,,0,0,54,0,0,0,0,0,0,0,0,614,88,11,228,7,280,3885,201,144,405,300,15,1203,1617,3540,2820,4156,87,4490,336,336,17,3864,171,290,148,4517,3444,1073,1014,520,494,0,494,59,4517,3798,3634,942,2692,164,719,719,319,400,883,164,127,37,719,247,472,719,148,234,90,0,247,0,4470,3715,755,138,323,81,186,0,81,0,165,57,4517,168,30,0,0,33,260,40,55,397,37,25,506,319,15,35,150,0,52,31,119,0,217,24,12,26,54,183,2187,2018,1932,ACS_Social_DC_CensusTract_3,"Census Tract 36, District of Columbia",{2FB3E803-BF6C-4D9B-A8B0-59B9C7F141FB},0,0
4,11,001,004201,11001004201,42.01,204529,0,+38.9162076,-077.0388456,1891,424,144,200,0,676,0,470,37,591,0,314,24,144,129,1.99,2.92,3771,1891,445,184,418,49,784,1752,990,541,0,0,221,1621,1109,446,0,24,42,133,0,0,92,,13,361,0,0,0,0,0,0,0,0,0,510,173,0,13,0,324,3071,42,55,54,110,23,1618,1169,2974,2787,3373,55,3771,147,398,0,3204,147,169,0,3574,2815,759,759,470,289,0,289,0,3771,3400,3342,587,2755,58,371,371,120,251,429,58,0,58,371,177,194,371,149,65,0,0,114,43,3386,2999,387,87,248,75,85,12,54,0,0,0,3771,47,67,0,0,96,311,131,13,455,0,15,335,165,0,7,175,72,82,1,74,22,0,36,71,0,0,13,1891,1891,1829,ACS_Social_DC_CensusTract_4,"Census Tract 42.01, District of Columbia",{20E32FB1-5E9C-4755-90EE-1DA06DCEE54A},0,0
5,11,001,004202,11001004202,42.02,207646,0,+38.9134023,-077.0430254,1539,243,35,133,0,536,0,491,22,627,0,501,28,35,171,1.62,2.31,2488,1539,259,131,64,22,473,1347,937,303,0,11,96,1195,801,336,0,0,58,16,0,0,17,0,17,23,0,0,0,0,0,0,0,0,0,399,0,21,0,14,364,2263,0,3,47,70,14,976,1153,2260,2129,2528,38,2592,172,64,14,2306,99,222,59,2567,1636,931,775,244,531,0,531,156,2592,2070,2005,75,1930,65,522,522,127,395,587,65,10,55,522,348,174,522,138,226,50,0,106,2,2542,1880,662,71,388,26,170,35,86,10,18,0,2592,19,40,0,0,12,265,332,6,267,30,10,300,237,12,58,74,10,112,18,17,9,40,48,10,10,31,40,1539,1539,1509,ACS_Social_DC_CensusTract_5,"Census Tract 42.02, District of Columbia",{7EFFD44C-A015-4DBF-B881-255C68B19EAD},0,0
6,11,001,007407,11001007407,74.07,608700,0,+38.8574823,-076.9850206,1412,157,69,91,46,305,0,219,48,859,329,278,6,579,175,2.41,3.19,3406,1412,156,92,1328,383,35,913,654,127,0,0,132,1632,935,268,77,127,225,18,11,12,16,0,0,32,126,65,0,0,48,17,65,53,26,1298,106,86,537,345,224,2098,39,185,836,387,118,322,211,1874,533,2273,57,3416,553,1143,88,2073,409,200,56,3399,3111,288,288,253,35,0,35,0,3416,3302,3263,2458,805,39,114,114,73,41,153,39,39,0,114,21,93,114,11,14,11,0,78,0,3190,3081,109,71,57,33,27,19,25,19,0,0,3416,157,0,0,0,0,17,0,5,17,7,0,12,23,11,0,0,0,0,0,0,0,98,0,0,9,0,157,1412,1369,1164,ACS_Social_DC_CensusTract_6,"Census Tract 74.07, District of Columbia",{5641F1EC-22F7-4B61-A3C6-2A39D52C95BD},0,0
7,11,001,006801,11001006801,68.01,244750,0,+38.8877413,-076.9801087,1027,432,138,7,0,276,0,238,8,312,25,138,8,175,85,2.17,2.75,2226,1027,408,6,456,109,220,1048,482,463,22,9,72,916,405,410,3,38,60,21,0,0,30,0,53,6,17,0,0,0,0,0,0,0,0,259,43,8,76,40,92,1677,17,16,255,105,86,473,725,1644,1198,1896,106,2261,198,365,0,1790,161,106,37,2228,1707,521,511,195,316,0,316,10,2298,2155,2128,710,1418,27,143,143,111,32,170,27,15,12,143,25,118,143,12,88,20,20,3,0,2062,1923,139,10,36,0,26,10,77,0,0,0,2298,29,0,6,6,31,191,118,0,190,0,15,307,146,8,0,45,0,18,19,12,8,136,0,14,16,0,11,1027,1027,997,ACS_Social_DC_CensusTract_7,"Census Tract 68.01, District of Columbia",{61BA3481-4F2F-4071-8585-FF01AFC9F6DD},0,0
8,11,001,010700,11001010700,107,891588,0,+38.9039988,-077.0419809,1201,116,23,52,0,439,0,325,27,594,0,582,98,23,188,1.29,2.28,1549,1201,97,51,33,46,121,782,522,132,0,0,128,843,633,158,0,34,18,22,0,0,31,0,14,98,0,0,0,0,0,0,0,0,0,277,6,0,0,1,270,1328,28,42,88,72,0,596,502,1258,1098,1625,68,1658,91,33,0,1430,42,195,49,1639,929,710,617,95,522,0,522,93,1658,1185,1173,95,1078,12,473,473,169,304,485,12,5,7,473,247,226,473,77,125,3,54,214,0,1625,1132,493,78,254,41,140,21,60,16,39,0,1658,17,54,6,10,34,447,53,0,136,23,22,205,140,9,17,54,8,73,9,9,0,0,0,0,13,223,0,1201,1201,1155,ACS_Social_DC_CensusTract_8,"Census Tract 107, District of Columbia",{BA219FDB-7E9A-4B56-88EC-C4CA50B0478D},0,0
9,11,001,009604,11001009604,96.04,503381,65762,+38.8931572,-076.9585043,892,222,100,41,8,65,0,50,40,564,69,295,142,238,317,2.68,3.87,2390,892,225,45,771,447,10,575,275,237,20,4,39,1238,569,288,35,81,265,40,40,73,57,0,85,0,45,0,0,0,0,0,0,0,0,613,155,77,198,16,167,1615,20,130,498,490,32,243,202,1465,445,1790,40,2414,293,624,34,1440,186,350,73,2383,2249,134,134,54,80,0,80,0,2414,2328,2316,1640,676,12,86,86,44,42,98,12,0,12,86,14,72,86,7,0,56,0,18,5,2098,2021,77,40,22,0,40,40,0,0,15,0,2414,110,0,0,0,0,6,0,6,40,0,0,12,0,0,0,5,7,0,0,11,0,100,0,6,0,0,30,892,786,687,ACS_Social_DC_CensusTract_9,"Census Tract 96.04, District of Columbia",{A88A39DA-580B-4369-8B5D-C0DB42B7001E},0,0
10,11,001,000201,11001000201,2.01,505004,0,+38.9092171,-077.0743418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1555,1537,15,0,0,3,2383,2383,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3874,0,0,0,0,3874,84,0,0,6,0,8,24,46,84,70,3899,7,3938,154,39,0,3877,143,22,11,3938,2332,1606,1336,274,1062,0,1062,270,3938,3207,3003,102,2901,204,731,731,199,532,935,204,130,74,731,457,274,731,150,329,44,62,120,26,3938,2477,1461,91,448,38,343,20,608,33,62,0,3938,203,52,0,13,10,88,67,0,182,25,7,347,239,9,0,64,9,47,9,10,0,65,39,9,21,31,25,0,0,0,ACS_Social_DC_CensusTract_10,"Census Tract 2.01, District of Columbia",{5E414888-A6F9-4707-9411-151EFFD983A9},0,0
