OBJECTID,STATEFP,COUNTYFP,CENSUS_TRACT,GEOID,pop_16_over_emp_status,unemployment_rate,labor_forces_rate,armed_forces_rate,females_employed_rate,hs_own_children_under_6_pct,hs_own_children_under_6_labor_force_pct,hs_own_children_6_to_17_pct,hs_own_children_6_to_17_labor_force_pct,workers_16_over,drove_alone_pct,carpooled_pct,public_transportation_pct,walked_pct,other_means_pct,worked_from_home_pct,mean_travel_time,management_business_science_arts_occupations_pct,service_occupations_pct,Sales_and_office_occupations_pct,Natural_resources_construction_and_maintenance_occupations_pct,Production_transportation_and_material_moving_occupations_pct,Agriculture_forestry_fishing_and_hunting_and_mining_pct,Construction_pct,Manufacturing_pct,Wholesale_trade_pct,Retail_trade_pct,Transportation_and_warehousing_and_utilities_pct,Information_pct,Finance_and_insurance_and_real_estate_and_rental_and_leasing_pct,Professional_scientific_and_management_and_administrative_and_waste_management_services_pct,Educational_services_and_health_care_and_social_assistance_pct,Arts_entertainment_and_recreation_and_accommodation_and_food_services_pct,Other_services_except_public_administration_pct,Public_administration_pct,Private_wage_and_salary_workers_pct,Government_workers_pct,Self_employed_in_own_not_incorporated_business_workers_pct,Unpaid_family_workers_pct,hs_Less_than_10000_pct,hs_10000_to_14999_pct,hs_15000_to_24999_pct,hs_25000_to_34999_pct,hs_35000_to_49999_pct,hs_50000_to_74999_pct,hs_75000_to_99999_pct,hs_100000_to_149999_pct,hs_150000_to_194999_pct,hs_200000__pct,Income_median,Income_mean,Earning_mean,Social_Security_income_mean,Retirement_income_mean,Supplemental_Security_income_mean,public_assistance_income_mean,Earning_median_wk,Earning_median_male_wk,Earning_median_fmale_wk,pct_all_families_below_poverty,pct_all_families_related_children_below18_below_poverty,pct_all_families_related_children_below5_below_poverty,pct_married_couple_families_below_poverty,pct_married_couple_families_related_children_below18_below_poverty,pct_married_couple_families_related_children_below5_below_poverty,pct_female_no_spouse_present_related_children_below18_below5_below_poverty,pct_below_poverty_female_no_spouse_present,pct_below_poverty_female_no_spouse_present_related_children_below18,pct_all_people_below_poverty,pct_all_people_under18_below_poverty,pct_all_people_related_children_under18_below_poverty,pct_all_people_related_children_under18_below5_below_poverty,pct_all_people_related_children_under18_5to17_below_poverty,pct_all_people_18plus_below_poverty,pct_all_people_18to64_below_poverty,pct_all_people_65plus_below_poverty,pct_people_in_families_below_poverty,pct_unrelated_individuals_15plus_below_poverty
1,11,1,1902,11001001902,1882,7.3,66.41870351,0,90.32258065,25.92592593,21.99074074,32.29166667,20.94907407,1156,0.410034602,0.046712803,0.183391003,0.024221453,0.020761246,0.314878893,33.7,65.31492666,12.07937877,13.37359793,4.572907679,4.659188956,0,3.623813632,0,0,6.81622088,4.227782571,6.212251941,6.902502157,20.01725626,16.04831752,3.278688525,14.06384814,18.80931838,68.76617774,26.91975841,4.314063848,0,1.50462963,1.273148148,3.125,3.125,5.671296296,7.175925926,12.5,19.56018519,19.09722222,26.96759259,143519,155558,151702,15720,50551,7524,973,76862,115417,90938,0.5,0,0,0.9,0,0,0,0,0,5.4,0.6,0,0,0,6.8,5.1,13,0.5,22.8
2,11,1,5001,11001005001,1827,2.2,85.82375479,0,98.19277108,3.631284916,3.631284916,5.2141527,5.2141527,1534,0.110821382,0.023468057,0.217079531,0.343546284,0.124511082,0.180573664,27.8,87.74445893,4.041720991,7.431551499,0.260756193,0.521512386,0,0.782268579,0,1.629726206,1.564537158,0,0.977835724,18.44850065,37.74445893,13.03780965,1.10821382,13.62451108,11.0821382,75.74967405,23.20730117,1.043024772,0,1.303538175,0.558659218,0,0,8.845437616,3.817504655,4.189944134,16.66666667,12.94227188,51.67597765,208636,241867,248723,17871,56261,,,98631,97833,127731,2.7,11.1,0,0,0,0,,45.8,100,6.8,28.4,28.4,52,20,5.7,5.6,6.3,5.6,7.8
3,11,1,9807,11001009807,2729,14,67.38732136,0,90.48751486,25.57275542,25.57275542,23.77708978,17.70897833,1538,0.487646294,0.105331599,0.305591678,0,0,0.101430429,55.7,34.76611884,44.05815424,13.27433628,3.350189633,4.551201011,0.758533502,1.327433628,0.821744627,0,4.487989886,1.517067004,0.884955752,0.442477876,20.48040455,21.55499368,26.29582807,7.269279393,14.15929204,74.58912769,23.89380531,1.517067004,0,11.70278638,11.51702786,1.176470588,20.0619195,6.00619195,10.15479876,20.55727554,9.783281734,3.900928793,5.139318885,,84661,91679,8231,37956,10530,,36667,38500,65455,23.6,30.8,0,16.4,21.6,0,0,30,55.1,20.8,16.3,16.3,0,33.1,22.2,23,18.4,19.4,24.3
4,11,1,9802,11001009802,1404,40,40.5982906,2.98245614,71.50537634,14.98216409,12.60404281,29.60760999,17.12247325,349,0.398280802,0.040114613,0.498567335,0,0.063037249,0,45.2,25.60240964,25.60240964,36.44578313,8.734939759,3.614457831,0,0,4.21686747,0,2.710843373,3.614457831,0,0,30.12048193,15.96385542,17.1686747,4.518072289,21.68674699,74.39759036,25.60240964,0,0,25.44589774,4.756242568,7.966706302,12.960761,5.231866825,14.26872771,13.43638526,14.50653983,1.426872771,0,33304,47971,60409,15068,38350,9279,462,42105,102660,54408,35.5,35.9,0,0,0,,0,43,37.9,42.1,48.7,48.7,35.8,59.2,39.6,50.4,12.3,44.6,33.6
5,11,1,9803,11001009803,2491,13.9,63.14733039,0,89.72431078,17.01272605,9.77896852,37.03951775,26.25586068,1313,0.507996954,0.03960396,0.428027418,0,0.008377761,0.015993907,36.5,25.2398524,37.63837638,17.41697417,12.10332103,7.601476015,0,10.40590406,1.033210332,0,8.782287823,10.03690037,2.066420664,0,8.708487085,26.64206642,12.84132841,8.191881919,11.29151292,72.0295203,27.67527675,0.295202952,0,25.72002679,11.11855325,5.224380442,3.95177495,13.73074347,20.49564635,5.961152043,11.05157401,2.746148694,0,37962,45124,56821,9388,16176,8203,4281,30275,47750,47600,12.4,18.8,,0,0,,,20.7,31.8,29.6,35.2,35.2,92.6,26.3,27.7,26.5,34.8,19.1,50.8
6,11,1,2002,11001002002,3213,5.5,79.20946156,0,98.54851031,33.20053121,31.00929615,30.87649402,27.0252324,2404,0.328202995,0.06655574,0.178036606,0.052412646,0.065723794,0.30906822,34.5,70.09151414,3.993344426,21.38103161,1.372712146,3.161397671,0,1.372712146,1.206322795,1.580698835,14.68386023,2.329450915,3.410981697,8.569051581,21.21464226,11.43926789,9.026622296,7.778702163,17.38768719,67.01331115,29.15973378,3.826955075,0,4.847277556,2.722443559,2.257636122,5.577689243,0.796812749,3.784860558,9.096945551,6.640106242,13.6122178,50.66401062,201923,200605,205474,17447,35143,16538,,95069,116066,127535,7.9,0,0,0,0,0,0,7.1,0,8,0,0,0,0,10.5,10.2,12.2,6,15.2
7,11,1,2101,11001002101,4382,1,79.23322684,0,99.63598544,23.8323876,22.82845919,26.36403317,25.49105194,3364,0.478299643,0.040725327,0.255648038,0.007134364,0.063317479,0.154875149,38.3,56.15362235,15.59499564,13.87838231,6.54640675,7.826592959,0,5.644457376,0,0,8.233924935,5.615362235,4.567937154,3.287750946,17.60256037,20.01745708,8.204829793,13.93657259,12.88914751,77.16031423,16.43875473,6.400931045,0,0,0.785683108,8.817110432,5.150589262,6.591008293,24.31252728,6.852902663,24.79266696,5.543430816,17.15408119,88973,112803,113199,24431,28930,,2201,47128,86497,66875,2.8,5.8,0,4.2,9.3,0,0,2.9,4.6,6.3,5,5,0,7,6.6,7.1,3.1,3.9,12
8,11,1,2900,11001002900,3619,3.2,85.54849406,0.290697674,96.15663524,20.05970149,16.29850746,24.05970149,20.05970149,2980,0.262080537,0.044295302,0.333892617,0.051342282,0.113758389,0.194630872,29.9,68.68517899,14.15189026,11.14084978,1.739712278,4.282368685,0,1.973904316,0,1.170960187,4.851120776,4.282368685,3.880896621,6.18936099,26.66443627,18.53462697,9.033121445,11.80996989,11.60923386,76.07895617,18.16661091,5.754432921,0,6.447761194,0,1.373134328,3.223880597,1.134328358,7.76119403,14.56716418,14.26865672,10.56716418,40.65671642,157961,198979,202957,18882,21650,,,77158,89000,83225,6.1,11.5,0,0,0,0,0,17.7,24,8.5,16.4,16.4,11,19.4,6.6,5.9,11.8,7.2,10.8
9,11,1,3100,11001003100,3165,5.6,84.36018957,0,95.02228826,13.65740741,12.73148148,18.92361111,11.5162037,2512,0.313296178,0.044585987,0.252786624,0.066878981,0.102707006,0.219745223,33,71.67790559,12.61404205,8.766362555,4.204680682,2.737009123,0,6.862356208,0.912336374,0,4.442681476,2.062673542,4.046013487,3.847679492,25.50575169,11.90003967,9.956366521,13.24871083,17.21539072,73.62157874,22.92740976,3.451011503,0,3.645833333,1.909722222,1.678240741,5.844907407,3.993055556,6.076388889,14.87268519,17.70833333,25.81018519,18.46064815,138707,148454,149233,19503,20876,,,84797,97800,91468,6.1,6,16.7,0,0,0,48.8,24.5,18.5,6.7,5.3,5.3,12.7,0,7,6.5,11.7,6.3,7.2
10,11,1,3200,11001003200,3538,13.4,81.910684,0,79.44055944,17.36972705,17.36972705,51.55086849,50.55831266,2508,0.282695375,0.100478469,0.314194577,0.054625199,0.102073365,0.145933014,33.2,57.67237943,26.5045835,9.286568354,3.148664807,3.387803906,0,4.025508171,0.757273814,0,1.753686728,3.547229972,3.507373456,4.184934237,20.44639299,17.37744121,22.08051016,7.891590275,14.42805899,76.32522917,19.68911917,3.188521323,0.797130331,3.101736973,3.908188586,10.11166253,3.287841191,4.52853598,9.863523573,9.367245658,23.88337469,10.42183623,21.52605459,119000,140806,155944,16404,28823,9943,5369,57820,82197,67625,20.4,34.6,12.4,0,0,0,100,76.4,100,19.1,43.3,43.3,7.8,53.1,11.3,11.8,7.6,22.4,8.7
11,11,1,3400,11001003400,4433,3.4,59.80148883,0,98.07580175,5.039096438,5.039096438,19.11381407,17.63683753,2521,0.164617215,0.012296708,0.34708449,0.159063864,0.076160254,0.240777469,30.8,57.25995316,23.22404372,16.08118657,0,3.43481655,0,0,2.4980484,0,6.362217018,0.702576112,2.966432475,6.713505074,19.71116315,24.16081187,4.996096799,17.87665886,14.01249024,71.31147541,18.22794692,10.46057767,0,8.514335361,4.25716768,3.38835795,11.12076455,12.16333623,8.688097307,4.430929626,13.64031277,7.384882711,26.41181581,91734,147334,168232,8849,14481,18211,,,84375,55345,25,32.9,43.5,9.8,0,0,100,35.9,44.1,21,21.7,21.7,26.2,20.4,20.9,20.5,26.1,23,20
