OBJECTID,DISTRICT,PSA,NAME,WEB_URL,POLDIST_ID,GIS_ID,SECTOR,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
1,4,401,401,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,4,temp_7,4D1,{C44EB92A-01CB-4328-8463-A826902DC7F2},,,,,0,0
2,2,201,201,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,2,temp_6,2D1,{4900EDFA-E061-4CB4-8C2F-02B9E4E47AA9},,,,,0,0
3,4,406,406,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,4,temp_5,4D2,{D8320D40-CA53-482E-B68D-B2B3395EA7ED},,,,,0,0
4,4,402,402,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,4,temp_4,4D1,{B6E3785E-B111-4460-B792-6E0197EACA09},,,,,0,0
5,2,202,202,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,2,temp_31,2D1,{1563F79F-4541-4BB2-A4E9-448C8A88B02E},,,,,0,0
6,4,403,403,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,4,temp_30,4D1,{F8E1A1B2-664F-4FEB-863C-A6C6C74F86D8},,,,,0,0
7,2,203,203,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,2,temp_29,2D1,{A93F5EAA-91E9-4E65-BF56-64FC18062853},,,,,0,0
8,4,405,405,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,4,temp_28,4D2,{6128308C-1867-4DA2-96AB-D2D45583588B},,,,,0,0
9,4,404,404,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,4,temp_27,4D3,{55BA9636-1E2E-47C1-82D7-DE1DC0601AC9},,,,,0,0
10,4,407,407,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,4,temp_26,4D2,{263F75B9-8F92-46F2-B13E-DC97C2171EDB},,,,,0,0
11,2,205,205,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,2,temp_25,2D2,{83496B63-8A39-4680-B703-AEB1CEA1FC55},,,,,0,0
12,5,503,503,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,5,temp_24,5D2,{4FB20AE3-BBE8-49F3-9932-F972118AD249},,,,,0,0
13,2,204,204,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,2,temp_23,2D2,{F0F6438A-DB3E-4548-9F2D-D8CE5FC14839},,,,,0,0
14,5,504,504,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,5,temp_22,5D2,{16FB6D7E-0307-47F1-9EC6-D632A518FE77},,,,,0,0
15,3,302,302,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,3,temp_21,3D1,{2F186480-8A93-4F8F-A8CE-FBB598AD7EAF},,,,,0,0
16,4,408,408,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,4,temp_18,4D3,{DC72F4B7-C2E7-4ADC-B788-3E88F59C3C19},,,,,0,0
17,4,409,409,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,4,temp_20,4D3,{89ED0EF9-CD79-49F3-89C3-6BB17AFD25FE},,,,,0,0
18,5,502,502,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,5,temp_19,5D1,{8177C79E-844D-4810-B2B4-738C1926AB09},,,,,0,0
19,5,505,505,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,5,temp_14,5D2,{4A30C64A-AC21-4898-9C1D-1F3E6AA8CE66},,,,,0,0
20,3,306,306,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,3,temp_17,3D2,{F8CCED28-E7FF-41CF-8966-FD2946B6E58E},,,,,0,0
21,3,304,304,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,3,temp_16,3D1,{3B88570F-7BDE-4443-AF18-C05BE9CEDBB3},,,,,0,0
22,3,303,303,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,3,temp_12,3D3,{ABB995FD-1B58-44C0-9FBF-CCAB2268BA4A},,,,,0,0
23,2,208,208,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,2,temp_13,2D3,{3EFC53BE-EC29-4925-87F4-EB9228A857A3},,,,,0,0
24,3,305,305,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,3,temp_3,3D2,{7420FF26-CBD5-4F2F-B9F7-853252E5109D},,,,,0,0
